Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%),Net Job Change,Percent Job Change,AI Impact Score,Career Stability Index,Median Salary Norm,High-Opportunity Career Score
Clinical Molecular Geneticist,It,Increasing,Low,132739.36,Bachelor’S Degree,7,1648,9268,74.93,92.07,India,56.53,7620,462.38,1,36.67,0.86,2.13
Technical Brewer,Education,Decreasing,Moderate,129113.43,High School,17,9756,933,70.11,40.65,Germany,43.55,-8823,-90.44,2,-53.67,0.83,0.06
"Solicitor, Scotland",Education,Decreasing,High,53458.87,Associate Degree,19,4665,8317,88.04,63.58,Usa,51.97,3652,78.29,3,28.51,0.2,0.48
Production Engineer,It,Decreasing,Low,44474.54,Associate Degree,12,7352,8039,26.23,53.14,Usa,70.69,687,9.34,1,4.38,0.12,0.21
"Buyer, Industrial",Manufacturing,Decreasing,High,96817.5,Bachelor’S Degree,11,1092,2688,30.22,16.72,Usa,21.75,1596,146.15,3,121.72,0.56,1.0
"Journalist, Magazine",Healthcare,Decreasing,Low,53293.17,High School,5,9182,4211,44.57,74.0,India,77.09,-4971,-54.14,1,-14.08,0.19,-0.08
Web Designer,Education,Increasing,Low,107619.12,Associate Degree,6,6575,7330,18.84,88.99,Canada,38.55,755,11.48,1,1.26,0.65,0.27
International Aid/Development Worker,Manufacturing,Decreasing,Moderate,41112.32,Master’S Degree,12,1360,9397,46.66,58.93,India,27.6,8037,590.96,2,242.71,0.09,2.51
Chartered Loss Adjuster,It,Decreasing,Moderate,112595.56,High School,12,4267,7258,79.59,1.44,China,49.54,2991,70.1,2,69.09,0.69,0.78
Clinical Molecular Geneticist,Retail,Decreasing,Low,87916.63,Phd,7,1480,1057,12.8,83.24,China,70.0,-423,-28.58,1,-4.79,0.48,0.08
Holiday Representative,Manufacturing,Increasing,Low,113654.7,Associate Degree,0,4109,9897,2.47,78.08,China,34.77,5788,140.86,1,30.88,0.7,0.84
Psychotherapist,It,Decreasing,Low,78951.88,High School,8,5028,860,79.26,44.66,Canada,61.16,-4168,-82.9,1,-45.87,0.41,-0.04
Volunteer Coordinator,Education,Decreasing,High,44146.88,Associate Degree,17,3516,6661,31.34,76.76,Germany,52.03,3145,89.45,3,20.79,0.12,0.46
Planning And Development Surveyor,Education,Decreasing,Moderate,128479.55,Master’S Degree,8,2631,4487,10.17,89.7,India,53.2,1856,70.54,2,7.27,0.82,0.56
"Radiographer, Diagnostic",Finance,Decreasing,Moderate,88369.0,Associate Degree,6,3554,6310,89.14,9.33,Uk,55.71,2756,77.55,2,70.31,0.49,0.73
"Administrator, Charities/Voluntary Organisations",Healthcare,Increasing,High,91853.77,High School,0,6150,3552,66.18,26.51,Australia,68.45,-2598,-42.24,3,-31.05,0.52,0.21
Trade Union Research Officer,It,Decreasing,Low,35717.45,Master’S Degree,16,426,2492,95.82,82.82,Germany,38.84,2066,484.98,1,83.32,0.05,2.01
Animal Nutritionist,It,Decreasing,Low,72481.91,High School,20,7967,484,90.23,85.7,Brazil,24.18,-7483,-93.92,1,-13.43,0.35,-0.23
Academic Librarian,Transportation,Increasing,Moderate,143550.11,Bachelor’S Degree,20,6365,3365,57.92,24.43,Canada,67.32,-3000,-47.13,2,-35.62,0.95,0.32
"Lecturer, Higher Education",Transportation,Decreasing,Moderate,137265.34,Phd,16,5412,9007,72.51,77.1,Usa,50.65,3595,66.43,2,15.21,0.89,0.6
Interior And Spatial Designer,Finance,Decreasing,Low,38924.52,Bachelor’S Degree,19,1672,6199,7.3,59.4,Uk,40.83,4527,270.75,1,109.93,0.07,1.23
Magazine Features Editor,Healthcare,Decreasing,Moderate,146585.04,Master’S Degree,14,2977,8490,45.86,74.36,Usa,67.75,5513,185.19,2,47.48,0.97,1.11
"Sales Professional, It",Healthcare,Decreasing,High,69894.86,Phd,17,6540,7052,7.46,37.43,Canada,63.63,512,7.83,3,4.9,0.33,0.32
Food Technologist,Transportation,Decreasing,Moderate,130260.25,High School,0,3773,114,93.64,37.31,Germany,56.59,-3659,-96.98,2,-60.8,0.84,0.05
Building Control Surveyor,Entertainment,Decreasing,Moderate,66369.26,High School,14,9917,7999,41.54,6.95,Usa,64.6,-1918,-19.34,2,-18.0,0.3,0.29
"Engineer, Water",Healthcare,Decreasing,Moderate,90878.69,Bachelor’S Degree,4,6776,6692,89.62,58.65,China,21.91,-84,-1.24,2,-0.51,0.51,0.27
Brewing Technologist,Finance,Decreasing,Low,114189.59,Bachelor’S Degree,12,2478,6462,17.93,11.42,China,66.3,3984,160.77,1,142.41,0.7,1.12
Immunologist,Healthcare,Increasing,Moderate,138029.54,Phd,15,1392,5891,21.34,33.62,Brazil,27.68,4499,323.2,2,214.54,0.9,1.76
"Lecturer, Higher Education",Finance,Increasing,Low,139808.84,Associate Degree,3,1208,8548,63.91,85.22,Brazil,49.59,7340,607.62,1,89.81,0.92,2.75
Systems Developer,Education,Decreasing,High,77196.16,Master’S Degree,15,5084,8461,77.8,42.9,Brazil,54.87,3377,66.42,3,37.93,0.39,0.55
"Teacher, Special Educational Needs",Manufacturing,Increasing,Low,48689.07,High School,17,2113,8564,33.22,73.02,Canada,27.37,6451,305.3,1,82.37,0.16,1.35
"Programme Researcher, Broadcasting/Film/Video",Retail,Increasing,High,139639.68,Associate Degree,1,6842,5043,50.71,29.98,Germany,54.49,-1799,-26.29,3,-18.41,0.91,0.38
Land,Entertainment,Decreasing,High,126813.79,Associate Degree,10,8609,7559,86.22,54.06,Brazil,42.36,-1050,-12.2,3,-5.6,0.81,0.33
Youth Worker,Manufacturing,Increasing,Moderate,73406.26,Bachelor’S Degree,7,1101,4115,3.29,43.42,Brazil,78.67,3014,273.75,2,154.89,0.36,1.37
Engineering Geologist,Healthcare,Decreasing,Low,121235.94,Phd,12,6141,2303,5.41,92.66,Brazil,32.45,-3838,-62.5,1,-4.59,0.76,0.0
Race Relations Officer,Healthcare,Decreasing,Low,102020.98,Bachelor’S Degree,5,5944,9047,74.73,85.86,Uk,23.19,3103,52.2,1,7.38,0.6,0.43
Camera Operator,Manufacturing,Increasing,Moderate,117863.84,Associate Degree,17,2703,4980,87.92,56.36,China,41.2,2277,84.24,2,36.76,0.73,0.69
Environmental Consultant,Manufacturing,Decreasing,Low,149160.49,High School,1,3219,7121,30.81,6.22,Canada,25.57,3902,121.22,1,113.68,0.99,1.06
Sports Therapist,Healthcare,Increasing,High,32231.24,Phd,14,4856,5648,14.41,81.75,Australia,77.23,792,16.31,3,2.98,0.02,0.13
"Therapist, Occupational",Retail,Increasing,Low,122236.46,Phd,6,8020,2397,50.27,36.48,Canada,36.65,-5623,-70.11,1,-44.54,0.77,0.14
Telecommunications Researcher,Entertainment,Increasing,Low,51912.12,High School,16,4151,351,0.04,39.58,China,40.39,-3800,-91.54,1,-55.31,0.18,-0.13
"Psychologist, Educational",Healthcare,Increasing,Moderate,95505.62,High School,6,2336,5921,16.91,32.14,Canada,27.46,3585,153.47,2,104.14,0.55,0.98
Hydrologist,Transportation,Decreasing,High,87558.26,Bachelor’S Degree,13,4480,984,16.88,0.19,Canada,27.57,-3496,-78.04,3,-77.89,0.48,0.13
Economist,It,Increasing,Moderate,123895.81,Phd,14,3833,5983,98.58,45.98,Brazil,26.53,2150,56.09,2,30.3,0.78,0.62
Oncologist,It,Decreasing,High,98252.07,Associate Degree,20,217,4080,88.04,80.47,Germany,75.66,3863,1780.18,3,347.67,0.57,7.35
Careers Adviser,Manufacturing,Increasing,Moderate,95953.63,High School,5,3010,9721,13.11,4.61,Usa,54.95,6711,222.96,2,212.68,0.55,1.34
Television Camera Operator,Entertainment,Decreasing,Low,63569.74,Bachelor’S Degree,0,5934,8647,96.68,79.28,India,41.42,2713,45.72,1,9.47,0.28,0.33
Speech And Language Therapist,Education,Decreasing,Moderate,92591.41,High School,18,7230,3127,22.52,39.59,Australia,60.52,-4103,-56.75,2,-34.28,0.52,0.11
Early Years Teacher,It,Decreasing,High,84343.61,Associate Degree,11,9977,5484,69.49,79.49,Usa,77.56,-4493,-45.03,3,-9.24,0.45,0.02
Metallurgist,Finance,Increasing,Moderate,82399.51,Bachelor’S Degree,15,5611,8662,24.08,67.71,Canada,50.55,3051,54.38,2,17.56,0.44,0.45
Horticultural Therapist,Education,Increasing,Low,135589.45,High School,17,5563,3404,14.94,61.24,Uk,30.49,-2159,-38.81,1,-15.04,0.88,0.23
Marketing Executive,Manufacturing,Decreasing,Moderate,43428.78,Phd,11,9680,1949,82.36,23.84,Australia,62.09,-7731,-79.87,2,-60.83,0.11,-0.06
Field Seismologist,Manufacturing,Decreasing,Low,74207.08,Phd,12,7830,711,17.5,45.08,Canada,63.13,-7119,-90.92,1,-49.93,0.37,-0.09
Financial Controller,Manufacturing,Decreasing,Moderate,118614.39,Master’S Degree,19,7464,6869,28.4,54.29,India,74.6,-595,-7.97,2,-3.64,0.74,0.33
Acupuncturist,Finance,Increasing,High,140961.75,Bachelor’S Degree,9,969,5119,80.94,52.82,Canada,33.74,4150,428.28,3,202.06,0.92,2.13
Risk Manager,Transportation,Increasing,High,103195.77,High School,20,2216,950,21.22,84.22,Germany,78.61,-1266,-57.13,3,-9.02,0.61,0.0
English As A Second Language Teacher,Finance,Increasing,High,91454.81,High School,16,2254,7608,22.48,73.0,Brazil,57.65,5354,237.53,3,64.13,0.51,1.18
Make,Finance,Increasing,High,82958.76,Phd,19,4766,2207,32.54,76.18,Usa,76.1,-2559,-53.69,3,-12.79,0.44,-0.01
Garment/Textile Technologist,Entertainment,Decreasing,Moderate,45977.15,Bachelor’S Degree,17,1929,9802,47.14,90.03,Germany,22.41,7873,408.14,2,40.69,0.13,1.7
Sports Coach,Entertainment,Increasing,Moderate,81574.85,Master’S Degree,3,3121,5425,99.85,14.44,Australia,67.67,2304,73.82,2,63.16,0.43,0.68
"Programmer, Applications",Manufacturing,Decreasing,Moderate,104021.98,Bachelor’S Degree,1,584,3651,67.43,59.33,India,49.79,3067,525.17,2,213.59,0.62,2.41
Biomedical Scientist,Finance,Increasing,Low,33780.74,Master’S Degree,19,1143,5531,6.31,13.16,Australia,58.26,4388,383.9,1,333.38,0.03,1.81
"Production Designer, Theatre/Television/Film",Transportation,Decreasing,High,127241.55,Bachelor’S Degree,17,6671,4766,93.14,32.13,Uk,53.57,-1905,-28.56,3,-19.38,0.81,0.33
"Accountant, Chartered Public Finance",Manufacturing,Increasing,High,88484.85,Master’S Degree,2,1070,7631,84.46,18.04,Uk,27.14,6561,613.18,3,502.56,0.49,2.84
"Sales Professional, It",Education,Increasing,High,149237.69,Phd,2,4853,6626,2.6,23.77,Germany,76.25,1773,36.53,3,27.85,0.99,0.67
Community Education Officer,Healthcare,Increasing,Moderate,50588.99,Master’S Degree,15,899,6962,42.49,38.9,Usa,30.14,6063,674.42,2,412.07,0.17,2.93
Adult Guidance Worker,Retail,Increasing,Moderate,75859.98,Associate Degree,18,4099,2177,98.48,15.77,Germany,60.73,-1922,-46.89,2,-39.5,0.38,0.18
Sports Administrator,It,Increasing,High,74023.86,Associate Degree,6,9986,9921,4.47,87.2,Canada,50.85,-65,-0.65,3,-0.08,0.37,0.15
Public House Manager,Manufacturing,Decreasing,High,44753.9,High School,7,6266,3909,85.13,51.33,Canada,35.51,-2357,-37.62,3,-18.31,0.12,0.03
Lawyer,Healthcare,Increasing,Moderate,81106.08,High School,9,624,7530,28.05,14.36,India,64.28,6906,1106.73,2,947.8,0.43,4.81
Charity Officer,Healthcare,Decreasing,Moderate,56721.58,High School,1,5469,6258,51.15,89.62,Germany,23.51,789,14.43,2,1.5,0.22,0.16
Police Officer,Transportation,Increasing,High,147919.0,High School,15,5518,9301,89.34,36.28,Australia,42.19,3783,68.56,3,43.68,0.98,0.76
"Teacher, Music",Education,Increasing,Moderate,134121.15,Master’S Degree,8,7682,6136,23.39,10.16,Uk,29.41,-1546,-20.12,2,-18.08,0.87,0.45
Television Production Assistant,Manufacturing,Increasing,High,59653.67,Phd,16,7835,718,65.44,17.04,Uk,49.75,-7117,-90.84,3,-75.36,0.25,-0.04
"Administrator, Charities/Voluntary Organisations",Manufacturing,Increasing,High,107033.45,Associate Degree,16,4686,5404,62.2,67.9,Canada,76.7,718,15.32,3,4.92,0.64,0.35
Armed Forces Training And Education Officer,Manufacturing,Increasing,High,95186.63,Master’S Degree,4,9071,3785,79.17,2.36,Canada,24.58,-5286,-58.27,3,-56.9,0.54,0.22
"Therapist, Art",Education,Increasing,High,35070.18,Associate Degree,17,930,5620,10.65,64.11,India,42.44,4690,504.3,3,180.99,0.04,2.14
"Designer, Television/Film Set",Education,Increasing,Low,105126.03,Bachelor’S Degree,18,537,3927,85.51,63.16,Canada,51.15,3390,631.28,1,232.57,0.63,2.82
"Journalist, Broadcasting",Transportation,Decreasing,Moderate,93733.25,High School,20,9129,6002,84.84,24.47,Germany,27.6,-3127,-34.25,2,-25.87,0.53,0.25
Nutritional Therapist,Retail,Increasing,High,121342.63,Bachelor’S Degree,18,699,5337,47.68,2.55,Germany,47.64,4638,663.52,3,646.6,0.76,3.17
Corporate Treasurer,Transportation,Increasing,High,95733.67,Associate Degree,4,4351,3734,54.35,78.79,Germany,37.53,-617,-14.18,3,-3.01,0.55,0.17
Ship Broker,Healthcare,Decreasing,Moderate,117391.14,Bachelor’S Degree,8,1813,437,10.37,67.03,Germany,57.31,-1376,-75.9,2,-25.02,0.73,0.01
Veterinary Surgeon,Healthcare,Increasing,Low,54909.54,Associate Degree,4,9186,2876,18.18,66.27,Australia,52.47,-6310,-68.69,1,-23.17,0.21,-0.11
Dentist,It,Increasing,High,82123.25,Phd,7,2847,7887,22.07,47.54,Canada,35.21,5040,177.03,3,92.87,0.43,1.0
Radio Producer,Manufacturing,Decreasing,Moderate,63333.9,Phd,2,958,8773,69.9,0.07,Uk,27.61,7815,815.76,2,815.19,0.28,3.65
Chartered Certified Accountant,Transportation,Decreasing,Low,53050.44,High School,0,1421,3988,93.46,55.23,Usa,33.05,2567,180.65,1,80.88,0.19,0.91
Commissioning Editor,Education,Decreasing,High,141878.73,Associate Degree,15,3736,6095,44.51,48.34,India,36.71,2359,63.14,3,32.62,0.93,0.69
Architectural Technologist,Finance,Increasing,High,96533.07,Master’S Degree,14,3271,3269,63.89,92.65,India,64.48,-2,-0.06,3,-0.0,0.55,0.19
Industrial/Product Designer,It,Decreasing,Moderate,36045.84,Associate Degree,13,9262,2586,83.15,23.92,China,67.66,-6676,-72.08,2,-54.84,0.05,-0.04
"Programmer, Systems",Healthcare,Decreasing,Moderate,120694.49,Associate Degree,9,2155,1008,64.46,23.28,Uk,57.26,-1147,-53.23,2,-40.83,0.76,0.24
Chief Of Staff,Entertainment,Decreasing,Moderate,49621.65,Phd,10,651,4404,16.85,73.27,Brazil,46.7,3753,576.5,2,154.1,0.16,2.44
"Scientist, Research (Physical Sciences)",It,Decreasing,High,50184.81,High School,3,8814,5424,92.75,61.59,India,72.92,-3390,-38.46,3,-14.77,0.17,0.01
Geophysical Data Processor,Finance,Increasing,High,85129.16,Associate Degree,20,4346,7203,48.02,97.52,Australia,64.82,2857,65.74,3,1.63,0.46,0.41
Retail Merchandiser,Healthcare,Increasing,Low,71647.33,Master’S Degree,14,111,5961,45.01,55.44,India,62.54,5850,5270.27,1,2348.43,0.35,21.32
"Investment Banker, Operational",Healthcare,Decreasing,High,120443.42,Bachelor’S Degree,3,9048,8979,80.91,70.82,Usa,42.21,-69,-0.76,3,-0.22,0.75,0.31
"Geologist, Engineering",Entertainment,Increasing,Moderate,48691.5,Phd,7,3084,8030,32.53,77.01,Germany,65.8,4946,160.38,2,36.87,0.16,0.76
Meteorologist,Transportation,Increasing,Moderate,146544.14,Bachelor’S Degree,12,5535,4555,47.42,93.9,Brazil,59.85,-980,-17.71,2,-1.08,0.97,0.24
Solicitor,Finance,Decreasing,High,62945.72,Bachelor’S Degree,7,3968,1682,59.35,32.65,Australia,79.54,-2286,-57.61,3,-38.8,0.27,0.05
Government Social Research Officer,It,Decreasing,Moderate,85824.09,High School,18,8732,6848,69.09,28.47,Australia,35.37,-1884,-21.58,2,-15.43,0.47,0.27
Investment Analyst,Retail,Decreasing,High,118096.58,Master’S Degree,3,2424,9072,43.52,10.51,China,22.54,6648,274.26,3,245.43,0.73,1.59
Archivist,Retail,Decreasing,Low,56880.14,Associate Degree,12,1914,5857,80.37,32.04,Germany,31.18,3943,206.01,1,140.0,0.22,1.1
"Psychologist, Forensic",Transportation,Increasing,High,35739.17,High School,18,7199,3323,82.06,72.24,Germany,65.84,-3876,-53.84,3,-14.95,0.05,-0.12
Interpreter,Transportation,Decreasing,Moderate,45733.06,Associate Degree,18,239,4293,78.81,7.27,Germany,53.66,4054,1696.23,2,1572.92,0.13,7.1
Sports Development Officer,Manufacturing,Increasing,High,38555.93,Bachelor’S Degree,19,9754,633,29.33,70.32,Usa,24.24,-9121,-93.51,3,-27.75,0.07,-0.26
Management Consultant,Entertainment,Decreasing,High,121573.35,Associate Degree,18,5689,6204,21.84,61.5,Australia,44.88,515,9.05,3,3.49,0.76,0.38
Ship Broker,Entertainment,Increasing,High,48390.19,High School,15,9068,8867,87.69,91.41,India,62.5,-201,-2.22,3,-0.19,0.15,0.06
Chemical Engineer,Finance,Increasing,Low,126948.71,Master’S Degree,15,1080,9110,84.81,44.26,Germany,32.68,8030,743.52,1,414.44,0.81,3.38
Public Relations Officer,Manufacturing,Decreasing,Low,48375.02,Associate Degree,14,1304,4295,93.33,95.36,Australia,55.43,2991,229.37,1,10.64,0.15,0.98
Government Social Research Officer,Education,Decreasing,Low,93484.45,Associate Degree,11,4078,298,62.85,94.03,Uk,47.82,-3780,-92.69,1,-5.53,0.53,-0.19
Firefighter,Retail,Increasing,Moderate,68908.7,Associate Degree,2,3512,4663,54.34,54.15,Uk,30.9,1151,32.77,2,15.03,0.32,0.37
"Engineer, Electrical",Healthcare,Increasing,High,131513.59,Associate Degree,3,6685,3592,75.7,45.42,China,40.81,-3093,-46.27,3,-25.25,0.85,0.23
"Sound Technician, Broadcasting/Film/Video",Manufacturing,Increasing,High,78147.16,Bachelor’S Degree,17,9947,6360,65.95,72.5,Canada,51.39,-3587,-36.06,3,-9.92,0.4,0.06
"Merchandiser, Retail",Education,Increasing,Moderate,97769.79,Phd,8,2590,4841,4.78,89.86,India,44.45,2251,86.91,2,8.81,0.56,0.55
Museum/Gallery Conservator,Entertainment,Increasing,Low,71621.97,Phd,1,1366,4662,71.23,81.16,Australia,52.96,3296,241.29,1,45.46,0.35,1.13
Actuary,Transportation,Decreasing,High,134836.62,Master’S Degree,15,7431,7985,22.27,79.27,Australia,58.99,554,7.46,3,1.55,0.87,0.35
Psychotherapist,Manufacturing,Increasing,Low,140727.79,Associate Degree,8,4288,2450,92.57,39.77,Australia,74.13,-1838,-42.86,1,-25.82,0.92,0.29
Neurosurgeon,Entertainment,Decreasing,High,99309.89,High School,5,8560,4485,91.09,90.12,Australia,76.07,-4075,-47.61,3,-4.7,0.58,0.01
"Engineer, Maintenance",Healthcare,Decreasing,High,78768.04,Associate Degree,5,8329,7474,74.8,66.62,Germany,21.0,-855,-10.27,3,-3.43,0.41,0.18
Chemical Engineer,Transportation,Increasing,High,60450.36,Bachelor’S Degree,8,7392,5330,16.04,23.51,Germany,29.48,-2062,-27.9,3,-21.34,0.25,0.19
Intelligence Analyst,It,Increasing,Moderate,55049.47,Bachelor’S Degree,8,9442,3385,22.37,88.22,Brazil,27.46,-6057,-64.15,2,-7.56,0.21,-0.16
Prison Officer,Healthcare,Increasing,Low,74634.11,Phd,17,5175,6323,64.81,11.44,Canada,70.05,1148,22.18,1,19.65,0.37,0.47
Astronomer,It,Increasing,Low,116561.36,Master’S Degree,20,7836,6467,96.3,1.45,Australia,30.34,-1369,-17.47,1,-17.22,0.72,0.44
"Administrator, Sports",Finance,Decreasing,Low,68418.87,High School,0,5477,3153,57.35,55.22,Germany,68.45,-2324,-42.43,1,-19.0,0.32,0.06
"Journalist, Magazine",Education,Decreasing,Low,145608.18,Associate Degree,13,1384,6993,57.57,34.96,Brazil,71.09,5609,405.27,1,263.59,0.96,2.11
"Pharmacist, Community",Healthcare,Increasing,High,145618.92,Phd,13,5531,9566,6.25,20.48,China,60.93,4035,72.95,3,58.01,0.96,0.82
Arts Administrator,Transportation,Increasing,High,47009.68,Master’S Degree,15,2047,9590,18.89,24.36,Australia,30.56,7543,368.49,3,278.73,0.14,1.74
Barrister'S Clerk,Retail,Decreasing,Moderate,73371.89,Master’S Degree,16,5484,8995,48.54,3.8,Canada,55.35,3511,64.02,2,61.59,0.36,0.65
Industrial Buyer,Finance,Decreasing,Low,36441.32,Associate Degree,19,4979,2800,86.8,31.85,India,57.53,-2179,-43.76,1,-29.83,0.05,0.05
Set Designer,Retail,Decreasing,Moderate,143412.47,Bachelor’S Degree,19,4919,7413,99.73,59.85,Germany,27.25,2494,50.7,2,20.36,0.95,0.61
"Production Assistant, Radio",It,Increasing,High,40418.7,Master’S Degree,11,9101,251,69.17,63.65,Uk,40.81,-8850,-97.24,3,-35.35,0.09,-0.25
Dealer,Manufacturing,Decreasing,High,100287.41,Phd,14,8218,8529,78.01,20.42,Usa,55.24,311,3.78,3,3.01,0.59,0.43
Holiday Representative,Education,Increasing,High,135543.3,Associate Degree,7,2015,6147,95.97,98.1,Usa,69.44,4132,205.06,3,3.9,0.88,1.09
Location Manager,Finance,Decreasing,Low,143923.32,High School,2,1129,3140,28.04,79.82,Germany,47.85,2011,178.12,1,35.95,0.95,1.06
"Administrator, Arts",Manufacturing,Decreasing,High,131800.11,Bachelor’S Degree,2,1540,1401,37.17,50.38,Usa,32.53,-139,-9.03,3,-4.48,0.85,0.37
Insurance Account Manager,Healthcare,Decreasing,High,35380.23,High School,11,2742,6124,41.6,23.47,Uk,46.16,3382,123.34,3,94.39,0.04,0.74
Multimedia Specialist,Retail,Increasing,Moderate,106324.95,Bachelor’S Degree,14,9790,5857,91.76,75.38,Usa,31.86,-3933,-40.17,2,-9.89,0.64,0.1
Editorial Assistant,Finance,Decreasing,High,126984.85,Phd,20,3935,529,82.55,27.93,Brazil,34.41,-3406,-86.56,3,-62.38,0.81,0.11
"Surveyor, Commercial/Residential",Entertainment,Decreasing,High,104900.51,Master’S Degree,7,5602,1934,16.0,48.88,India,54.89,-3668,-65.48,3,-33.47,0.62,0.08
Physiological Scientist,Manufacturing,Increasing,Low,85739.4,Phd,8,8980,2903,80.84,57.27,Australia,78.59,-6077,-67.67,1,-28.92,0.46,-0.0
Occupational Hygienist,Transportation,Decreasing,Low,145729.22,Master’S Degree,4,9758,2920,82.71,81.45,India,68.56,-6838,-70.08,1,-13.0,0.96,0.06
Clinical Embryologist,Healthcare,Decreasing,Moderate,43675.47,Master’S Degree,16,8890,5827,27.39,60.29,Usa,27.56,-3063,-34.45,2,-13.68,0.11,0.02
Purchasing Manager,Manufacturing,Increasing,Moderate,128195.52,High School,2,3712,6769,51.71,95.78,Australia,62.1,3057,82.35,2,3.48,0.82,0.59
Music Therapist,Education,Increasing,Moderate,35752.27,Bachelor’S Degree,14,8733,3170,57.61,3.87,Brazil,51.86,-5563,-63.7,2,-61.24,0.05,0.05
Paediatric Nurse,Retail,Decreasing,High,67137.69,Phd,15,3613,8258,3.43,74.68,Canada,24.15,4645,128.56,3,32.55,0.31,0.68
Investment Analyst,Finance,Decreasing,Moderate,57968.11,Bachelor’S Degree,2,1372,5483,81.25,49.62,Germany,27.34,4111,299.64,2,150.96,0.23,1.42
"Designer, Television/Film Set",Finance,Decreasing,Moderate,130725.83,Associate Degree,2,8856,3453,49.11,69.01,Brazil,54.41,-5403,-61.01,2,-18.91,0.84,0.1
Agricultural Consultant,Finance,Increasing,Moderate,110982.6,Associate Degree,4,1933,3854,57.25,69.88,Australia,23.93,1921,99.38,2,29.93,0.67,0.69
"Scientist, Water Quality",Healthcare,Increasing,Low,123185.19,Bachelor’S Degree,18,4004,6654,33.94,44.6,Germany,78.03,2650,66.18,1,36.67,0.78,0.66
General Practice Doctor,Finance,Decreasing,Moderate,105846.97,Master’S Degree,13,1496,7413,55.94,88.94,Canada,61.77,5917,395.52,2,43.74,0.63,1.8
Chief Technology Officer,Healthcare,Increasing,Low,75260.61,Associate Degree,13,3217,8253,69.12,76.65,India,37.89,5036,156.54,1,36.55,0.38,0.81
Database Administrator,Entertainment,Decreasing,High,98378.42,Phd,15,2076,7500,66.28,36.16,Australia,36.71,5424,261.27,3,166.8,0.57,1.41
International Aid/Development Worker,Healthcare,Increasing,Low,73100.27,High School,12,6772,4698,90.0,53.85,Brazil,26.18,-2074,-30.63,1,-14.13,0.36,0.12
Immunologist,Manufacturing,Increasing,Moderate,109814.8,Bachelor’S Degree,10,9231,9038,83.24,32.12,Canada,27.98,-193,-2.09,2,-1.42,0.67,0.39
